protein.Entry_protein.Accession,protein.Description,c1,c2,c3,r1,r2,r3,rt1,rt2,rt3,t1,t2,t3,Present_NumFiles 
ZN598_HUMAN_Q86UK7,E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens GN=ZNF598 PE=1 SV=1,1.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
H0Y5J4_HUMAN_H0Y5J4,Drebrin-like protein (Fragment) OS=Homo sapiens GN=DBNL PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3446,NaN,NaN,NaN,1
HEAT9_HUMAN_A2RTY3,Protein HEATR9 OS=Homo sapiens GN=HEATR9 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,0.0473,NaN,NaN,NaN,NaN,NaN,NaN,1
TYW5_HUMAN_A2RUC4,tRNA wybutosine-synthesizing protein 5 OS=Homo sapiens GN=TYW5 PE=1 SV=1,NaN,0.1189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
CCD24_HUMAN_Q8N4L8,Coiled-coil domain-containing protein 24 OS=Homo sapiens GN=CCDC24 PE=1 SV=1,NaN,0.0305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NR1D2_HUMAN_Q14995,Nuclear receptor subfamily 1 group D member 2 OS=Homo sapiens GN=NR1D2 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2743,NaN,1
TRI50_HUMAN_Q86XT4,E3 ubiquitin-protein ligase TRIM50 OS=Homo sapiens GN=TRIM50 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.0124,NaN,NaN,NaN,NaN,NaN,NaN,1
CFA77_HUMAN_Q6ZQR2,Cilia- and flagella-associated protein 77 OS=Homo sapiens GN=CFAP77 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0946,NaN,NaN,1
FABD_HUMAN_Q8IVS2,Malonyl-CoA-acyl carrier protein transacylase_ mitochondrial OS=Homo sapiens GN=MCAT PE=1 SV=2,0.0709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
DIM1_HUMAN_Q9UNQ2,Probable dimethyladenosine transferase OS=Homo sapiens GN=DIMT1 PE=1 SV=1,NaN,NaN,NaN,0.0554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
GNAS1_HUMAN_Q5JWF2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens GN=GNAS PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,0.3955,NaN,NaN,NaN,NaN,NaN,1
G3XAC6_HUMAN_G3XAC6,RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=1,0.9646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
A0A1W2PP81_HUMAN_A0A1W2PP81,HCG1809904 OS=Homo sapiens GN=hCG_1809904 PE=4 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,1
H3BR79_HUMAN_H3BR79,Prolyl 3-hydroxylase OGFOD1 (Fragment) OS=Homo sapiens GN=OGFOD1 PE=1 SV=1,NaN,NaN,NaN,0.013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
A0A087WTA8_HUMAN_A0A087WTA8,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3832,NaN,NaN,1
MYD88_HUMAN_Q99836,Myeloid differentiation primary response protein MyD88 OS=Homo sapiens GN=MYD88 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0334,NaN,NaN,NaN,NaN,NaN,1
E9PLD3_HUMAN_E9PLD3,Uncharacterized protein OS=Homo sapiens PE=4 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0426,NaN,NaN,NaN,NaN,NaN,1
DDRGK_HUMAN_Q96HY6,DDRGK domain-containing protein 1 OS=Homo sapiens GN=DDRGK1 PE=1 SV=2,NaN,NaN,NaN,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
GCP3_HUMAN_Q96CW5,Gamma-tubulin complex component 3 OS=Homo sapiens GN=TUBGCP3 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,0.5176,NaN,NaN,NaN,NaN,NaN,NaN,1
RPB9_HUMAN_P36954,DNA-directed RNA polymerase II subunit RPB9 OS=Homo sapiens GN=POLR2I PE=1 SV=1,NaN,NaN,NaN,NaN,0.0087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
E7ETB0_HUMAN_E7ETB0,Chromosome 21 open reading frame 91 (Fragment) OS=Homo sapiens GN=C21orf91 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0147,NaN,NaN,1
STRP1_HUMAN_Q5VSL9,Striatin-interacting protein 1 OS=Homo sapiens GN=STRIP1 PE=1 SV=1,0.0545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
BNIP3_HUMAN_Q12983,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 OS=Homo sapiens GN=BNIP3 PE=1 SV=3,NaN,NaN,NaN,0.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
B3KT28_HUMAN_B3KT28,FAS-associated factor 1 OS=Homo sapiens GN=FAF1 PE=1 SV=1,NaN,0.0424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
MIPO1_HUMAN_Q8TD10,Mirror-image polydactyly gene 1 protein OS=Homo sapiens GN=MIPOL1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.682,NaN,NaN,1
G3XAD2_HUMAN_G3XAD2,Alpha-(1_6)-fucosyltransferase OS=Homo sapiens GN=FUT8 PE=1 SV=1,NaN,NaN,0.1176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
CP26A_HUMAN_O43174,Cytochrome P450 26A1 OS=Homo sapiens GN=CYP26A1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0152,1
NCOA1_HUMAN_Q15788,Nuclear receptor coactivator 1 OS=Homo sapiens GN=NCOA1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0922,NaN,NaN,1
A0A0A0MRE6_HUMAN_A0A0A0MRE6,WD repeat-containing protein 47 OS=Homo sapiens GN=WDR47 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1486,NaN,NaN,NaN,1
SCN2A_HUMAN_Q99250,Sodium channel protein type 2 subunit alpha OS=Homo sapiens GN=SCN2A PE=1 SV=3,NaN,NaN,NaN,0.0718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
V9GYN7_HUMAN_V9GYN7,DnaJ homolog subfamily B member 12 (Fragment) OS=Homo sapiens GN=DNAJB12 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0797,NaN,NaN,1
G3V1Q4_HUMAN_G3V1Q4,Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4012,NaN,1
RON_HUMAN_Q04912,Macrophage-stimulating protein receptor OS=Homo sapiens GN=MST1R PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0424,NaN,1
F8W7U3_HUMAN_F8W7U3,WASH complex subunit 2A OS=Homo sapiens GN=WASHC2A PE=1 SV=1,NaN,NaN,NaN,0.0018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
ORC1_HUMAN_Q13415,Origin recognition complex subunit 1 OS=Homo sapiens GN=ORC1 PE=1 SV=2,NaN,NaN,NaN,0.0407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
QSOX1_HUMAN_O00391,Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0897,NaN,1
MMRN1_HUMAN_Q13201,Multimerin-1 OS=Homo sapiens GN=MMRN1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2329,NaN,NaN,1
A0A087WT25_HUMAN_A0A087WT25,Tubby-like protein OS=Homo sapiens GN=TULP1 PE=1 SV=1,NaN,3.1013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
A0A087X1X7_HUMAN_A0A087X1X7,Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.08,1
E9PM19_HUMAN_E9PM19,Tyrosine-protein kinase OS=Homo sapiens GN=TYK2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0546,NaN,NaN,NaN,NaN,NaN,1
SYNPO_HUMAN_Q8N3V7,Synaptopodin OS=Homo sapiens GN=SYNPO PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,0.3301,NaN,NaN,NaN,NaN,NaN,NaN,1
ZN615_HUMAN_Q8N8J6,Zinc finger protein 615 OS=Homo sapiens GN=ZNF615 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1111,NaN,1
E9PP76_HUMAN_E9PP76,Copper chaperone for superoxide dismutase (Fragment) OS=Homo sapiens GN=CCS PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0128,NaN,NaN,NaN,1
A0A087WZC3_HUMAN_A0A087WZC3,Synaptonemal complex protein 1 OS=Homo sapiens GN=SYCP1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2906,1
E9PJ38_HUMAN_E9PJ38,Receptor-binding cancer antigen-expressed on SiSo cells (Fragment) OS=Homo sapiens GN=EBAG9 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.0519,NaN,NaN,NaN,NaN,NaN,NaN,1
A0A0A0MSY9_HUMAN_A0A0A0MSY9,Histone-lysine N-methyltransferase EZH1 OS=Homo sapiens GN=EZH1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197,1
DEOC_HUMAN_Q9Y315,Deoxyribose-phosphate aldolase OS=Homo sapiens GN=DERA PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,0.0575,NaN,NaN,NaN,NaN,NaN,1
NOA1_HUMAN_Q8NC60,Nitric oxide-associated protein 1 OS=Homo sapiens GN=NOA1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,0.2911,NaN,NaN,NaN,NaN,NaN,1
A0A0A0MRE1_HUMAN_A0A0A0MRE1,Exocyst complex component 7 (Fragment) OS=Homo sapiens GN=EXOC7 PE=1 SV=1,NaN,NaN,NaN,NaN,0.0742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
H0YHH5_HUMAN_H0YHH5,Centrosomal protein of 83 kDa (Fragment) OS=Homo sapiens GN=CEP83 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.089,NaN,NaN,NaN,NaN,NaN,1
SC5A1_HUMAN_P13866,Sodium/glucose cotransporter 1 OS=Homo sapiens GN=SLC5A1 PE=1 SV=1,NaN,NaN,NaN,NaN,0.3768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
X6RM59_HUMAN_X6RM59,5'-nucleotidase OS=Homo sapiens GN=NT5C3A PE=1 SV=1,NaN,NaN,0.0319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
RT25_HUMAN_P82663,28S ribosomal protein S25_ mitochondrial OS=Homo sapiens GN=MRPS25 PE=1 SV=1,NaN,NaN,NaN,0.031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
TESP1_HUMAN_A2RU30,Protein TESPA1 OS=Homo sapiens GN=TESPA1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,0.0972,NaN,NaN,NaN,NaN,NaN,1
THNS1_HUMAN_Q8IYQ7,Threonine synthase-like 1 OS=Homo sapiens GN=THNSL1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0376,1
H0Y9G3_HUMAN_H0Y9G3,Calcium-binding and coiled-coil domain-containing protein 2 (Fragment) OS=Homo sapiens GN=CALCOCO2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0181,NaN,NaN,NaN,1
PKHO1_HUMAN_Q53GL0,Pleckstrin homology domain-containing family O member 1 OS=Homo sapiens GN=PLEKHO1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,0.0323,NaN,NaN,NaN,NaN,NaN,NaN,1
E7EUY3_HUMAN_E7EUY3,Propionyl-CoA carboxylase beta chain_ mitochondrial OS=Homo sapiens GN=PCCB PE=1 SV=1,NaN,NaN,NaN,0.0238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
PLCD1_HUMAN_P51178,1-phosphatidylinositol 4_5-bisphosphate phosphodiesterase delta-1 OS=Homo sapiens GN=PLCD1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,0.015,NaN,NaN,NaN,NaN,NaN,NaN,1
GNA15_HUMAN_P30679,Guanine nucleotide-binding protein subunit alpha-15 OS=Homo sapiens GN=GNA15 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0426,1
XXLT1_HUMAN_Q8NBI6,Xyloside xylosyltransferase 1 OS=Homo sapiens GN=XXYLT1 PE=1 SV=1,0.0732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
A0A087X106_HUMAN_A0A087X106,Keratin_ type II cuticular Hb1 OS=Homo sapiens GN=KRT81 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3946,NaN,1
TRI10_HUMAN_Q9UDY6,Tripartite motif-containing protein 10 OS=Homo sapiens GN=TRIM10 PE=1 SV=3,0.0501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
PAR15_HUMAN_Q460N3,Poly [ADP-ribose] polymerase 15 OS=Homo sapiens GN=PARP15 PE=1 SV=2,NaN,0.8996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
SUN3_HUMAN_Q8TAQ9,SUN domain-containing protein 3 OS=Homo sapiens GN=SUN3 PE=1 SV=4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1163,NaN,1
E5RIF2_HUMAN_E5RIF2,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment) OS=Homo sapiens GN=ARFGEF1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,3.5275,NaN,NaN,NaN,NaN,NaN,1
BACH1_HUMAN_O14867,Transcription regulator protein BACH1 OS=Homo sapiens GN=BACH1 PE=1 SV=2,NaN,NaN,0.0756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
S4R3N0_HUMAN_S4R3N0,Butyrophilin subfamily 3 member A2 (Fragment) OS=Homo sapiens GN=BTN3A2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.0086,NaN,NaN,NaN,NaN,NaN,NaN,1
F6UGJ8_HUMAN_F6UGJ8,ERI1 exoribonuclease 3 (Fragment) OS=Homo sapiens GN=ERI3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0747,NaN,NaN,NaN,NaN,NaN,1
TSC1_HUMAN_Q92574,Hamartin OS=Homo sapiens GN=TSC1 PE=1 SV=2,NaN,NaN,0.0374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
BTBD3_HUMAN_Q9Y2F9,BTB/POZ domain-containing protein 3 OS=Homo sapiens GN=BTBD3 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109,NaN,NaN,1
MYT1_HUMAN_Q01538,Myelin transcription factor 1 OS=Homo sapiens GN=MYT1 PE=1 SV=2,0.038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
M0R165_HUMAN_M0R165,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,NaN,NaN,NaN,0.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
EVI5_HUMAN_O60447,Ecotropic viral integration site 5 protein homolog OS=Homo sapiens GN=EVI5 PE=1 SV=3,NaN,NaN,NaN,NaN,0.3957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
E9PS17_HUMAN_E9PS17,N-terminal kinase-like protein OS=Homo sapiens GN=SCYL1 PE=1 SV=1,0.2308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
ACHA7_HUMAN_P36544,Neuronal acetylcholine receptor subunit alpha-7 OS=Homo sapiens GN=CHRNA7 PE=1 SV=5,NaN,NaN,NaN,NaN,NaN,NaN,0.9371,NaN,NaN,NaN,NaN,NaN,1
PLCB2_HUMAN_Q00722,1-phosphatidylinositol 4_5-bisphosphate phosphodiesterase beta-2 OS=Homo sapiens GN=PLCB2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,0.2182,NaN,NaN,NaN,NaN,NaN,1
H0Y2X5_HUMAN_H0Y2X5,Aldehyde dehydrogenase 1 family_ member A3_ isoform CRA_b OS=Homo sapiens GN=ALDH1A3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5061,1
DAF_HUMAN_P08174,Complement decay-accelerating factor OS=Homo sapiens GN=CD55 PE=1 SV=4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3065,1
STA5B_HUMAN_P51692,Signal transducer and activator of transcription 5B OS=Homo sapiens GN=STAT5B PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1053,1
A0A0J9YXQ9_HUMAN_A0A0J9YXQ9,Trafficking protein particle complex subunit 12 OS=Homo sapiens GN=TRAPPC12 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0075,NaN,1
Q5T182_HUMAN_Q5T182,SHC-transforming protein 1 (Fragment) OS=Homo sapiens GN=SHC1 PE=1 SV=1,NaN,NaN,NaN,NaN,0.0337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
K0355_HUMAN_O15063,Uncharacterized protein KIAA0355 OS=Homo sapiens GN=KIAA0355 PE=1 SV=2,NaN,NaN,NaN,NaN,0.1752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
E9PAU2_HUMAN_E9PAU2,Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0628,NaN,NaN,NaN,NaN,NaN,1
F8VY35_HUMAN_F8VY35,Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens GN=NAP1L1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2221,1
PKHH2_HUMAN_Q8IVE3,Pleckstrin homology domain-containing family H member 2 OS=Homo sapiens GN=PLEKHH2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6411,NaN,NaN,NaN,1
J3KPV6_HUMAN_J3KPV6,Amiloride-sensitive sodium channel subunit alpha OS=Homo sapiens GN=SCNN1A PE=1 SV=1,NaN,0.1334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
R4GN72_HUMAN_R4GN72,V-type proton ATPase subunit d 1 OS=Homo sapiens GN=ATP6V0D1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0618,NaN,NaN,NaN,1
CSN7B_HUMAN_Q9H9Q2,COP9 signalosome complex subunit 7b OS=Homo sapiens GN=COPS7B PE=1 SV=1,NaN,NaN,NaN,0.0549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
JAK3_HUMAN_P52333,Tyrosine-protein kinase JAK3 OS=Homo sapiens GN=JAK3 PE=1 SV=2,0.3926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
UBP43_HUMAN_Q70EL4,Ubiquitin carboxyl-terminal hydrolase 43 OS=Homo sapiens GN=USP43 PE=1 SV=2,0.1629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
CRML_HUMAN_Q96RY5,Protein cramped-like OS=Homo sapiens GN=CRAMP1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,2.2556,NaN,NaN,NaN,NaN,NaN,1
ZN148_HUMAN_Q9UQR1,Zinc finger protein 148 OS=Homo sapiens GN=ZNF148 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0392,NaN,1
AFG1L_HUMAN_Q8WV93,AFG1-like ATPase OS=Homo sapiens GN=AFG1L PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,0.0336,NaN,NaN,NaN,NaN,NaN,1
PNMA2_HUMAN_Q9UL42,Paraneoplastic antigen Ma2 OS=Homo sapiens GN=PNMA2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0041,NaN,1
H0Y5R1_HUMAN_H0Y5R1,Aryl hydrocarbon receptor nuclear translocator-like protein 2 (Fragment) OS=Homo sapiens GN=ARNTL2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0117,NaN,NaN,NaN,NaN,NaN,1
CBLB_HUMAN_Q13191,E3 ubiquitin-protein ligase CBL-B OS=Homo sapiens GN=CBLB PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2203,NaN,1
DHX29_HUMAN_Q7Z478,ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4137,1
GUAD_HUMAN_Q9Y2T3,Guanine deaminase OS=Homo sapiens GN=GDA PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.014,NaN,NaN,NaN,NaN,NaN,NaN,1
B5ME44_HUMAN_B5ME44,Outer dense fiber protein 2-like (Fragment) OS=Homo sapiens GN=ODF2L PE=1 SV=2,0.0029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
ELL_HUMAN_P55199,RNA polymerase II elongation factor ELL OS=Homo sapiens GN=ELL PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.4448,NaN,NaN,NaN,NaN,NaN,NaN,1
AMPD2_HUMAN_Q01433,AMP deaminase 2 OS=Homo sapiens GN=AMPD2 PE=1 SV=2,NaN,NaN,0.1385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
H0YCK3_HUMAN_H0YCK3,Double-stranded RNA-specific adenosine deaminase (Fragment) OS=Homo sapiens GN=ADAR PE=1 SV=1,NaN,NaN,1.6955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
I3L3Z8_HUMAN_I3L3Z8,Pre-mRNA-processing-splicing factor 8 (Fragment) OS=Homo sapiens GN=PRPF8 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0317,NaN,NaN,1
A0A140T9H4_HUMAN_A0A140T9H4,MHC class I polypeptide-related sequence B (Fragment) OS=Homo sapiens GN=MICB PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0206,NaN,NaN,1
IL22_HUMAN_Q9GZX6,Interleukin-22 OS=Homo sapiens GN=IL22 PE=1 SV=1,NaN,NaN,NaN,NaN,0.0087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
ZNT9_HUMAN_Q6PML9,Zinc transporter 9 OS=Homo sapiens GN=SLC30A9 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.0413,NaN,NaN,NaN,NaN,NaN,NaN,1
KREM1_HUMAN_Q96MU8,Kremen protein 1 OS=Homo sapiens GN=KREMEN1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0234,NaN,NaN,NaN,NaN,1
DYLT1_HUMAN_P63172,Dynein light chain Tctex-type 1 OS=Homo sapiens GN=DYNLT1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.0371,NaN,NaN,NaN,NaN,NaN,NaN,1
K7EM16_HUMAN_K7EM16,Vasodilator-stimulated phosphoprotein (Fragment) OS=Homo sapiens GN=VASP PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0462,NaN,NaN,1
CRBN_HUMAN_Q96SW2,Protein cereblon OS=Homo sapiens GN=CRBN PE=1 SV=1,NaN,NaN,NaN,NaN,0.0071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
FBX17_HUMAN_Q96EF6,F-box only protein 17 OS=Homo sapiens GN=FBXO17 PE=1 SV=1,NaN,NaN,NaN,NaN,0.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
TMC5B_HUMAN_A8MYB1,Transmembrane and coiled-coil domain-containing protein 5B OS=Homo sapiens GN=TMCO5B PE=3 SV=1,NaN,0.0048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
LORF2_HUMAN_O00370,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2753,NaN,NaN,1
M0QZ22_HUMAN_M0QZ22,Protein Smaug homolog 2 OS=Homo sapiens GN=SAMD4B PE=1 SV=1,0.1268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
FGD5_HUMAN_Q6ZNL6,FYVE_ RhoGEF and PH domain-containing protein 5 OS=Homo sapiens GN=FGD5 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0682,NaN,1
ZN487_HUMAN_B1APH4,Putative zinc finger protein 487 OS=Homo sapiens GN=ZNF487 PE=5 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,0.168,NaN,NaN,NaN,NaN,NaN,1
A0A1B0GTQ5_HUMAN_A0A1B0GTQ5,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1,NaN,NaN,NaN,NaN,0.2464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
C9J6N5_HUMAN_C9J6N5,Protein FAM107B (Fragment) OS=Homo sapiens GN=FAM107B PE=1 SV=8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0322,NaN,NaN,NaN,NaN,1
ASH2L_HUMAN_Q9UBL3,Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Homo sapiens GN=ASH2L PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1339,NaN,1
