protein.Accession,protein.Description,protein.fmolOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.ngramOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.fmolOnColumn -> 2+None+1+to+12_IA_final_protein,protein.ngramOnColumn -> 2+None+1+to+12_IA_final_protein,protein.fmolOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.ngramOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3TGFB_001_IA_final_protein,Present_NumFiles
Q9Y5H0,Protocadherin gamma-A3 OS=Homo sapiens GN=PCDHGA3 PE=2 SV=2,NaN,NaN,8.4157,0.8531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q86SJ2,Amphoterin-induced protein 2 OS=Homo sapiens GN=AMIGO2 PE=1 SV=1,14.2981,0.8422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9BVC4,Target of rapamycin complex subunit LST8 OS=Homo sapiens GN=MLST8 PE=1 SV=1,23.1324,0.8457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P53602,Diphosphomevalonate decarboxylase OS=Homo sapiens GN=MVD PE=1 SV=1,NaN,NaN,NaN,NaN,16.0723,0.7059,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9H1A3,Methyltransferase-like protein 9 OS=Homo sapiens GN=METTL9 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,3.3677,0.1242,NaN,NaN,NaN,NaN,1
Q9BSF4,Uncharacterized protein C19orf52 OS=Homo sapiens GN=C19orf52 PE=1 SV=2,NaN,NaN,NaN,NaN,20.8397,0.6152,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8N7X0,Androglobin OS=Homo sapiens GN=ADGB PE=2 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.096,9.5582,1
Q05D60,Coiled-coil domain-containing protein 67 OS=Homo sapiens GN=CCDC67 PE=2 SV=2,NaN,NaN,52.1196,3.729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q96KC8,DnaJ homolog subfamily C member 1 OS=Homo sapiens GN=DNAJC1 PE=1 SV=1,9.2895,0.5966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q0VGL1,Ragulator complex protein LAMTOR4 OS=Homo sapiens GN=LAMTOR4 PE=1 SV=1,7.3012,0.0788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9UIK4,Death-associated protein kinase 2 OS=Homo sapiens GN=DAPK2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,1.7684,0.0762,NaN,NaN,NaN,NaN,1
Q8IXM3,39S ribosomal protein L41_ mitochondrial OS=Homo sapiens GN=MRPL41 PE=1 SV=1,24.9015,0.3845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8IYL3,UPF0688 protein C1orf174 OS=Homo sapiens GN=C1orf174 PE=1 SV=2,27.0555,0.7121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9UHP3,Ubiquitin carboxyl-terminal hydrolase 25 OS=Homo sapiens GN=USP25 PE=1 SV=4,NaN,NaN,37.8712,4.6545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q5VSD8,Putative uncharacterized protein LOC401522 OS=Homo sapiens PE=4 SV=2,9.2959,0.0778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9P270,SLAIN motif-containing protein 2 OS=Homo sapiens GN=SLAIN2 PE=1 SV=2,NaN,NaN,NaN,NaN,11.8241,0.7422,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8IYB5,Stromal membrane-associated protein 1 OS=Homo sapiens GN=SMAP1 PE=1 SV=2,NaN,NaN,NaN,NaN,11.4719,0.582,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8IYB1,Protein MB21D2 OS=Homo sapiens GN=MB21D2 PE=1 SV=3,NaN,NaN,4.7704,0.2692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q99618,Cell division cycle-associated protein 3 OS=Homo sapiens GN=CDCA3 PE=1 SV=1,18.4147,0.534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q2TBA0,Kelch repeat and BTB domain-containing protein 5 OS=Homo sapiens GN=KBTBD5 PE=1 SV=2,NaN,NaN,47.1598,3.3119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P26378,ELAV-like protein 4 OS=Homo sapiens GN=ELAVL4 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.9506,2.3109,NaN,NaN,1
Q99614,Tetratricopeptide repeat protein 1 OS=Homo sapiens GN=TTC1 PE=1 SV=1,6.6972,0.2276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9BQP7,Uncharacterized protein C20orf72 OS=Homo sapiens GN=C20orf72 PE=1 SV=1,27.6514,1.1011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q96K21,Zinc finger FYVE domain-containing protein 19 OS=Homo sapiens GN=ZFYVE19 PE=1 SV=3,22.2501,1.1672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q96H22,Centromere protein N OS=Homo sapiens GN=CENPN PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,55.552,2.2068,NaN,NaN,NaN,NaN,1
P23515,Oligodendrocyte-myelin glycoprotein OS=Homo sapiens GN=OMG PE=1 SV=2,43.6873,2.1872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q5YKI7,Putative gametogenetin-binding protein 1 OS=Homo sapiens GN=GGNBP1 PE=5 SV=1,NaN,NaN,NaN,NaN,24.1518,0.3,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9H9E3,Conserved oligomeric Golgi complex subunit 4 OS=Homo sapiens GN=COG4 PE=1 SV=3,50.5697,4.5539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q14156,Protein EFR3 homolog A OS=Homo sapiens GN=EFR3A PE=1 SV=2,22.1044,2.0742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
O94888,UBX domain-containing protein 7 OS=Homo sapiens GN=UBXN7 PE=1 SV=2,99.767,5.5133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q68D91,Metallo-beta-lactamase domain-containing protein 2 OS=Homo sapiens GN=MBLAC2 PE=1 SV=3,11.017,0.3475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9H900,Protein zwilch homolog OS=Homo sapiens GN=ZWILCH PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.149,4.9542,NaN,NaN,1
Q6VEQ5,WAS protein family homolog 2 OS=Homo sapiens GN=WASH2P PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.7403,2.0521,1
Q9NX46,Poly(ADP-ribose) glycohydrolase ARH3 OS=Homo sapiens GN=ADPRHL2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.9539,1.9626,NaN,NaN,1
Q9UHQ4,B-cell receptor-associated protein 29 OS=Homo sapiens GN=BCAP29 PE=1 SV=2,33.9338,0.9649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 OS=Homo sapiens GN=NDUFS5 PE=1 SV=3,19.5233,0.2488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q96JP5,E3 ubiquitin-protein ligase ZFP91 OS=Homo sapiens GN=ZFP91 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0082,0.5149,1
Q9NX47,E3 ubiquitin-protein ligase MARCH5 OS=Homo sapiens GN=MARCH5 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.7549,0.4374,1
Q8NEZ2,Vacuolar protein sorting-associated protein 37A OS=Homo sapiens GN=VPS37A PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,7.4235,0.3302,NaN,NaN,NaN,NaN,1
P30499,HLA class I histocompatibility antigen_ Cw-1 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=1,18.6636,0.7731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8IZ73,RNA pseudouridylate synthase domain-containing protein 2 OS=Homo sapiens GN=RPUSD2 PE=1 SV=2,NaN,NaN,4.4616,0.2761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q6ZUV0,Cytosolic acyl coenzyme A thioester hydrolase-like OS=Homo sapiens GN=ACOT7L PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2827,0.1512,1
O75711,Scrapie-responsive protein 1 OS=Homo sapiens GN=SCRG1 PE=1 SV=1,2.0686,0.0239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q12923,Tyrosine-protein phosphatase non-receptor type 13 OS=Homo sapiens GN=PTPN13 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.0898,18.9982,1
Q9UDY8,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 OS=Homo sapiens GN=MALT1 PE=1 SV=1,22.596,2.1198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9NWZ3,Interleukin-1 receptor-associated kinase 4 OS=Homo sapiens GN=IRAK4 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,22.5985,1.1748,NaN,NaN,NaN,NaN,1
Q9BQL6,Fermitin family homolog 1 OS=Homo sapiens GN=FERMT1 PE=1 SV=1,26.2415,2.0485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q6ZN55,Zinc finger protein 574 OS=Homo sapiens GN=ZNF574 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.7871,4.8379,NaN,NaN,1
P61244,Protein max OS=Homo sapiens GN=MAX PE=1 SV=1,43.9244,0.8027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9P2W1,Homologous-pairing protein 2 homolog OS=Homo sapiens GN=PSMC3IP PE=1 SV=1,NaN,NaN,9.4836,0.2378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q96SY0,von Willebrand factor A domain-containing protein 9 OS=Homo sapiens GN=VWA9 PE=1 SV=2,21.8755,1.2697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9NQ34,Transmembrane protein 9B OS=Homo sapiens GN=TMEM9B PE=1 SV=1,NaN,NaN,NaN,NaN,18.7092,0.4311,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9NQ30,Endothelial cell-specific molecule 1 OS=Homo sapiens GN=ESM1 PE=1 SV=2,NaN,NaN,NaN,NaN,5.3348,0.1127,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8TBZ0,Coiled-coil domain-containing protein 110 OS=Homo sapiens GN=CCDC110 PE=2 SV=1,NaN,NaN,40.8355,3.9731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q6ZRK6,Coiled-coil domain-containing protein 73 OS=Homo sapiens GN=CCDC73 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,523.4318,65.4938,NaN,NaN,1
Q8IY37,Probable ATP-dependent RNA helicase DHX37 OS=Homo sapiens GN=DHX37 PE=1 SV=1,34.1365,4.4592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9NVH2,Integrator complex subunit 7 OS=Homo sapiens GN=INTS7 PE=1 SV=1,30.8231,3.3316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P48552,Nuclear receptor-interacting protein 1 OS=Homo sapiens GN=NRIP1 PE=1 SV=2,NaN,NaN,45.6256,5.8282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9NVH6,Trimethyllysine dioxygenase_ mitochondrial OS=Homo sapiens GN=TMLHE PE=1 SV=1,178.1697,8.9343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8WWI5,Choline transporter-like protein 1 OS=Homo sapiens GN=SLC44A1 PE=1 SV=1,30.49,2.2819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P30464,HLA class I histocompatibility antigen_ B-15 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=2,NaN,NaN,NaN,NaN,41.4929,1.6877,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9UBG3,Cornulin OS=Homo sapiens GN=CRNN PE=1 SV=1,12.821,0.6893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9BXY0,Protein MAK16 homolog OS=Homo sapiens GN=MAK16 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9764,0.142,1
Q96ST3,Paired amphipathic helix protein Sin3a OS=Homo sapiens GN=SIN3A PE=1 SV=2,56.7054,8.2775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
O75376,Nuclear receptor corepressor 1 OS=Homo sapiens GN=NCOR1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,29.771,8.0716,NaN,NaN,NaN,NaN,1
Q7Z4G1,COMM domain-containing protein 6 OS=Homo sapiens GN=COMMD6 PE=1 SV=1,16.758,0.1634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q7Z4G4,tRNA (guanine(10)-N2)-methyltransferase homolog OS=Homo sapiens GN=TRMT11 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0482,0.487,1
Q99759,Mitogen-activated protein kinase kinase kinase 3 OS=Homo sapiens GN=MAP3K3 PE=1 SV=2,NaN,NaN,NaN,NaN,110.2586,7.8611,NaN,NaN,NaN,NaN,NaN,NaN,1
Q0P6D6,Coiled-coil domain-containing protein 15 OS=Homo sapiens GN=CCDC15 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,23.3095,2.5926,NaN,NaN,NaN,NaN,1
Q9BU02,Thiamine-triphosphatase OS=Homo sapiens GN=THTPA PE=1 SV=3,31.9989,0.8236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8NFW1,Collagen alpha-1(XXII) chain OS=Homo sapiens GN=COL22A1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,30.3625,4.924,NaN,NaN,NaN,NaN,1
Q9Y448,Small kinetochore-associated protein OS=Homo sapiens GN=SKAP PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,259.0067,9.2526,NaN,NaN,1
Q6ZT12,E3 ubiquitin-protein ligase UBR3 OS=Homo sapiens GN=UBR3 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,437.4005,94.4901,NaN,NaN,1
Q8TCZ2,CD99 antigen-like protein 2 OS=Homo sapiens GN=CD99L2 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.3825,0.4331,NaN,NaN,1
Q8N7U6,EF-hand domain-containing family member B OS=Homo sapiens GN=EFHB PE=2 SV=4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,630.287,59.7692,NaN,NaN,1
Q69YN2,CWF19-like protein 1 OS=Homo sapiens GN=CWF19L1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,11.4631,0.7034,NaN,NaN,NaN,NaN,1
P31321,cAMP-dependent protein kinase type I-beta regulatory subunit OS=Homo sapiens GN=PRKAR1B PE=1 SV=4,10.8048,0.4691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P49848,Transcription initiation factor TFIID subunit 6 OS=Homo sapiens GN=TAF6 PE=1 SV=1,NaN,NaN,134.2043,9.8366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P24557,Thromboxane-A synthase OS=Homo sapiens GN=TBXAS1 PE=1 SV=3,NaN,NaN,22.2815,1.3637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q15125,3-beta-hydroxysteroid-Delta(8)_Delta(7)-isomerase OS=Homo sapiens GN=EBP PE=1 SV=3,NaN,NaN,NaN,NaN,10.1362,0.2694,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9Y6M4,Casein kinase I isoform gamma-3 OS=Homo sapiens GN=CSNK1G3 PE=1 SV=2,NaN,NaN,23.7781,1.2314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9H0W9,Ester hydrolase C11orf54 OS=Homo sapiens GN=C11orf54 PE=1 SV=1,41.3002,1.4716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9NZV5,Selenoprotein N OS=Homo sapiens GN=SEPN1 PE=1 SV=5,NaN,NaN,3.2343,0.2134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q86VM9,Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens GN=ZC3H18 PE=1 SV=2,NaN,NaN,NaN,NaN,20.2539,2.1592,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9UFF9,CCR4-NOT transcription complex subunit 8 OS=Homo sapiens GN=CNOT8 PE=1 SV=1,6.6869,0.2262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P28715,DNA repair protein complementing XP-G cells OS=Homo sapiens GN=ERCC5 PE=1 SV=3,NaN,NaN,29.9278,4.0058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8IWW6,Rho GTPase-activating protein 12 OS=Homo sapiens GN=ARHGAP12 PE=1 SV=1,NaN,NaN,24.397,2.3567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q92878,DNA repair protein RAD50 OS=Homo sapiens GN=RAD50 PE=1 SV=1,39.9063,6.1822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9UJ41,Rab5 GDP/GTP exchange factor OS=Homo sapiens GN=RABGEF1 PE=1 SV=2,NaN,NaN,48.4405,3.9056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8TD84,Down syndrome cell adhesion molecule-like protein 1 OS=Homo sapiens GN=DSCAML1 PE=1 SV=2,101.8122,23.0389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q5EG05,Caspase recruitment domain-containing protein 16 OS=Homo sapiens GN=CARD16 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0916,0.1169,1
P05534,HLA class I histocompatibility antigen_ A-24 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=2,1.028,0.0421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9Y6B7,AP-4 complex subunit beta-1 OS=Homo sapiens GN=AP4B1 PE=1 SV=2,52.4245,4.4366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
A1L020,RNA-binding protein MEX3A OS=Homo sapiens GN=MEX3A PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,208.6441,11.4933,1
Q8WW32,High mobility group protein B4 OS=Homo sapiens GN=HMGB4 PE=2 SV=2,NaN,NaN,8.4247,0.1914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8IV16,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 OS=Homo sapiens GN=GPIHBP1 PE=1 SV=2,NaN,NaN,2.5432,0.052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9H6V9,UPF0554 protein C2orf43 OS=Homo sapiens GN=C2orf43 PE=1 SV=1,NaN,NaN,NaN,NaN,14.0199,0.5296,NaN,NaN,NaN,NaN,NaN,NaN,1
P0CK97,Solute carrier family 35 member E2 OS=Homo sapiens GN=SLC35E2 PE=2 SV=1,93.735,2.7524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q9Y5R6,Doublesex- and mab-3-related transcription factor 1 OS=Homo sapiens GN=DMRT1 PE=1 SV=2,NaN,NaN,27.7357,1.1106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P35354,Prostaglandin G/H synthase 2 OS=Homo sapiens GN=PTGS2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7948,0.4739,1
O60938,Keratocan OS=Homo sapiens GN=KERA PE=1 SV=1,NaN,NaN,NaN,NaN,127.0993,5.1994,NaN,NaN,NaN,NaN,NaN,NaN,1
Q6P179,Endoplasmic reticulum aminopeptidase 2 OS=Homo sapiens GN=ERAP2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,170.9524,19.0007,NaN,NaN,NaN,NaN,1
Q9H0F7,ADP-ribosylation factor-like protein 6 OS=Homo sapiens GN=ARL6 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9354,0.1688,1
Q14145,Kelch-like ECH-associated protein 1 OS=Homo sapiens GN=KEAP1 PE=1 SV=2,28.9011,2.0579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q14146,Unhealthy ribosome biogenesis protein 2 homolog OS=Homo sapiens GN=URB2 PE=1 SV=2,149.5715,25.7986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P19634,Sodium/hydrogen exchanger 1 OS=Homo sapiens GN=SLC9A1 PE=1 SV=2,163.8485,14.9555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q96RY5,Protein cramped-like OS=Homo sapiens GN=CRAMP1L PE=1 SV=3,202.9547,27.5848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q03113,Guanine nucleotide-binding protein subunit alpha-12 OS=Homo sapiens GN=GNA12 PE=1 SV=4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.5888,1.3152,1
Q6ICG7,Putative uncharacterized protein LOC100131404 OS=Homo sapiens PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.1009,0.5075,NaN,NaN,1
Q9Y6W3,Calpain-7 OS=Homo sapiens GN=CAPN7 PE=1 SV=1,11.8623,1.1079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q86Y07,Serine/threonine-protein kinase VRK2 OS=Homo sapiens GN=VRK2 PE=1 SV=3,NaN,NaN,10.1621,0.5955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q99424,Peroxisomal acyl-coenzyme A oxidase 2 OS=Homo sapiens GN=ACOX2 PE=1 SV=1,NaN,NaN,NaN,NaN,113.1712,8.785,NaN,NaN,NaN,NaN,NaN,NaN,1
Q5QP74,Putative uncharacterized protein C10orf115 OS=Homo sapiens GN=C10orf115 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9396,0.0618,1
Q03013,Glutathione S-transferase Mu 4 OS=Homo sapiens GN=GSTM4 PE=1 SV=3,3.7934,0.0978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q6ZSR9,Uncharacterized protein FLJ45252 OS=Homo sapiens PE=1 SV=2,NaN,NaN,10.0799,0.3851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q8NCS4,Uncharacterized protein ZMYM6NB OS=Homo sapiens GN=ZMYM6NB PE=2 SV=1,6.3343,0.1077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q6ZTW0,Tubulin polyglutamylase complex subunit 1 OS=Homo sapiens GN=TPGS1 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.4682,0.5818,NaN,NaN,1
P61018,Ras-related protein Rab-4B OS=Homo sapiens GN=RAB4B PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3422,0.1753,NaN,NaN,1
Q16342,Programmed cell death protein 2 OS=Homo sapiens GN=PDCD2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,11.7813,0.4674,NaN,NaN,NaN,NaN,1
C9JBD0,KRAB domain-containing protein 1 OS=Homo sapiens GN=KRBOX1 PE=2 SV=1,NaN,NaN,1.2826,0.0193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q06203,Amidophosphoribosyltransferase OS=Homo sapiens GN=PPAT PE=1 SV=1,33.1434,1.9289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
P31944,Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2,NaN,NaN,62.7995,1.7562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
O14981,TATA-binding protein-associated factor 172 OS=Homo sapiens GN=BTAF1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,45.0634,9.4259,NaN,NaN,NaN,NaN,1
P80217,Interferon-induced 35 kDa protein OS=Homo sapiens GN=IFI35 PE=1 SV=5,NaN,NaN,3.6769,0.1166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q96QD9,UAP56-interacting factor OS=Homo sapiens GN=FYTTD1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,27.5516,0.9884,NaN,NaN,NaN,NaN,1
Q96EP0,E3 ubiquitin-protein ligase RNF31 OS=Homo sapiens GN=RNF31 PE=1 SV=1,18.9685,2.328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
O14494,Lipid phosphate phosphohydrolase 1 OS=Homo sapiens GN=PPAP2A PE=1 SV=1,NaN,NaN,28.8033,0.9377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q5JUX0,Spindlin-3 OS=Homo sapiens GN=SPIN3 PE=2 SV=1,NaN,NaN,3.4769,0.1019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
A8MT70,Zinc finger B-box domain-containing protein 1 OS=Homo sapiens GN=ZBBX PE=2 SV=3,167.6357,15.5079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Q6NVY1,3-hydroxyisobutyryl-CoA hydrolase_ mitochondrial OS=Homo sapiens GN=HIBCH PE=1 SV=2,NaN,NaN,9.3036,0.4077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
